image_id,discard_reason,technical_warning_name
811.png,demasiados componentes/células segmentadas,warning_too_many_components
813.png,demasiados componentes/células segmentadas,warning_too_many_components
820.png,demasiados componentes/células segmentadas,warning_too_many_components
822.png,demasiados componentes/células segmentadas,warning_too_many_components
825.png,demasiados componentes/células segmentadas,warning_too_many_components
827.png,demasiados componentes/células segmentadas,warning_too_many_components
828.png,demasiados componentes/células segmentadas,warning_too_many_components
829.png,demasiados componentes/células segmentadas,warning_too_many_components
830.png,demasiados componentes/células segmentadas,warning_too_many_components
833.png,demasiados componentes/células segmentadas,warning_too_many_components
834.png,demasiados componentes/células segmentadas,warning_too_many_components
835.png,demasiados componentes/células segmentadas,warning_too_many_components
836.png,demasiados componentes/células segmentadas,warning_too_many_components
837.png,demasiados componentes/células segmentadas,warning_too_many_components
842.png,demasiados componentes/células segmentadas,warning_too_many_components
844.png,demasiados componentes/células segmentadas,warning_too_many_components
846.png,demasiados componentes/células segmentadas,warning_too_many_components
848.png,demasiados componentes/células segmentadas,warning_too_many_components
849.png,demasiados componentes/células segmentadas,warning_too_many_components
850.png,demasiados componentes/células segmentadas,warning_too_many_components
851.png,demasiados componentes/células segmentadas,warning_too_many_components
852.png,demasiados componentes/células segmentadas,warning_too_many_components
853.png,demasiados componentes/células segmentadas,warning_too_many_components
856.png,demasiados componentes/células segmentadas,warning_too_many_components
857.png,demasiados componentes/células segmentadas,warning_too_many_components
859.png,demasiados componentes/células segmentadas,warning_too_many_components
860.png,demasiados componentes/células segmentadas,warning_too_many_components
864.png,demasiados componentes/células segmentadas,warning_too_many_components
871.png,demasiados componentes/células segmentadas,warning_too_many_components
872.png,demasiados componentes/células segmentadas,warning_too_many_components
873.png,demasiados componentes/células segmentadas,warning_too_many_components
874.png,demasiados componentes/células segmentadas,warning_too_many_components
875.png,demasiados componentes/células segmentadas,warning_too_many_components
876.png,demasiados componentes/células segmentadas,warning_too_many_components
877.png,demasiados componentes/células segmentadas,warning_too_many_components
878.png,demasiados componentes/células segmentadas,warning_too_many_components
879.png,demasiados componentes/células segmentadas,warning_too_many_components
880.png,demasiados componentes/células segmentadas,warning_too_many_components
881.png,demasiados componentes/células segmentadas,warning_too_many_components
882.png,demasiados componentes/células segmentadas,warning_too_many_components
